trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,latency_ms,retry_count,timestamp
gpt-4o-mini__framing__canonical__gain_frame__t07__014,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,587,0,2026-04-29T13:14:57.704502+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__015,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,798,0,2026-04-29T13:14:58.604261+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__016,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,559,0,2026-04-29T13:14:59.264592+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__017,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,820,0,2026-04-29T13:15:00.186490+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__018,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,644,0,2026-04-29T13:15:00.931959+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__019,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,769,0,2026-04-29T13:15:01.802597+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__020,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,781,0,2026-04-29T13:15:02.684915+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__021,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,815,0,2026-04-29T13:15:03.601592+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__022,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,763,0,2026-04-29T13:15:04.466149+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__023,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,597,0,2026-04-29T13:15:05.165200+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__024,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,594,0,2026-04-29T13:15:05.860222+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__025,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,762,0,2026-04-29T13:15:06.723751+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__026,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,872,0,2026-04-29T13:15:07.696430+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__027,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,609,0,2026-04-29T13:15:08.407073+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__028,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,604,0,2026-04-29T13:15:09.112486+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__029,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,898,0,2026-04-29T13:15:10.112474+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__030,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,754,0,2026-04-29T13:15:10.967042+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__031,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,612,0,2026-04-29T13:15:11.680191+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__032,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,623,0,2026-04-29T13:15:12.404482+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__033,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,760,0,2026-04-29T13:15:13.266133+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__034,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,600,0,2026-04-29T13:15:13.967059+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__035,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,599,0,2026-04-29T13:15:14.667360+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__036,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,647,0,2026-04-29T13:15:15.416026+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__037,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,628,0,2026-04-29T13:15:16.145468+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__038,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,741,0,2026-04-29T13:15:16.987535+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__039,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,752,0,2026-04-29T13:15:17.841146+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__040,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,750,0,2026-04-29T13:15:18.691829+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__041,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",B,B,False,785,0,2026-04-29T13:15:19.578810+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__042,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,738,0,2026-04-29T13:15:20.418312+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__043,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,549,0,2026-04-29T13:15:21.069001+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__044,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,576,0,2026-04-29T13:15:21.745988+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__045,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,747,0,2026-04-29T13:15:22.595092+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__046,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,616,0,2026-04-29T13:15:23.313240+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__047,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,592,0,2026-04-29T13:15:24.007360+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__048,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,637,0,2026-04-29T13:15:24.745359+00:00
gpt-4o-mini__framing__canonical__gain_frame__t07__049,gpt-4o-mini,framing,canonical,gain_frame,0.7,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,728,0,2026-04-29T13:15:25.574914+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__000,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,605,0,2026-04-29T13:15:26.281119+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__001,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,699,0,2026-04-29T13:15:27.081701+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__002,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,582,0,2026-04-29T13:15:27.764473+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__003,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,640,0,2026-04-29T13:15:28.506600+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__004,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,753,0,2026-04-29T13:15:29.361117+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__005,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,560,0,2026-04-29T13:15:30.022466+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__006,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,759,0,2026-04-29T13:15:30.882592+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__007,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,895,0,2026-04-29T13:15:31.878492+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__008,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,771,0,2026-04-29T13:15:32.751464+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__009,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,896,0,2026-04-29T13:15:33.749360+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__010,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,709,0,2026-04-29T13:15:34.560831+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__011,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,589,0,2026-04-29T13:15:35.250873+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__012,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,593,0,2026-04-29T13:15:35.944874+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__013,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,606,0,2026-04-29T13:15:36.652371+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__014,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,808,0,2026-04-29T13:15:37.561394+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__015,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,652,0,2026-04-29T13:15:38.314799+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__016,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,632,0,2026-04-29T13:15:39.048123+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__017,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,587,0,2026-04-29T13:15:39.736233+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__018,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,790,0,2026-04-29T13:15:40.628157+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__019,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,743,0,2026-04-29T13:15:41.472435+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__020,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,613,0,2026-04-29T13:15:42.187373+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__021,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,756,0,2026-04-29T13:15:43.044799+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__022,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,574,0,2026-04-29T13:15:43.720340+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__023,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,770,0,2026-04-29T13:15:44.591936+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__024,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,638,0,2026-04-29T13:15:45.330799+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__025,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,564,0,2026-04-29T13:15:45.996798+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__026,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,734,0,2026-04-29T13:15:46.832298+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__027,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,745,0,2026-04-29T13:15:47.679143+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__028,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,652,0,2026-04-29T13:15:48.432058+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__029,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,610,0,2026-04-29T13:15:49.143977+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__030,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,758,0,2026-04-29T13:15:50.003484+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__031,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,778,0,2026-04-29T13:15:50.883012+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__032,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,788,0,2026-04-29T13:15:51.772683+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__033,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,1123,0,2026-04-29T13:15:52.996730+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__034,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,712,0,2026-04-29T13:15:53.811107+00:00
gpt-4o-mini__framing__canonical__loss_frame__t07__035,gpt-4o-mini,framing,canonical,loss_frame,0.7,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",B,B,False,565,0,2026-04-29T13:15:54.477789+00:00
