trial_id,model,bias,surface,condition,temperature,gain_value,loss_value,price_value,prompt,raw_response,parsed_choice,parse_failed,timestamp
gemma3:4b__framing__canonical__gain_frame__t03__015,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:00.359923+00:00
gemma3:4b__framing__canonical__gain_frame__t03__016,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:02.963665+00:00
gemma3:4b__framing__canonical__gain_frame__t03__017,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:05.623662+00:00
gemma3:4b__framing__canonical__gain_frame__t03__018,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:08.236586+00:00
gemma3:4b__framing__canonical__gain_frame__t03__019,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:10.853830+00:00
gemma3:4b__framing__canonical__gain_frame__t03__020,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:13.458389+00:00
gemma3:4b__framing__canonical__gain_frame__t03__021,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:16.047956+00:00
gemma3:4b__framing__canonical__gain_frame__t03__022,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:18.679708+00:00
gemma3:4b__framing__canonical__gain_frame__t03__023,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:21.220241+00:00
gemma3:4b__framing__canonical__gain_frame__t03__024,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:24.255774+00:00
gemma3:4b__framing__canonical__gain_frame__t03__025,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:26.896909+00:00
gemma3:4b__framing__canonical__gain_frame__t03__026,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:29.500361+00:00
gemma3:4b__framing__canonical__gain_frame__t03__027,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:32.081386+00:00
gemma3:4b__framing__canonical__gain_frame__t03__028,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:34.709087+00:00
gemma3:4b__framing__canonical__gain_frame__t03__029,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:37.342855+00:00
gemma3:4b__framing__canonical__gain_frame__t03__030,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:39.957767+00:00
gemma3:4b__framing__canonical__gain_frame__t03__031,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:42.538908+00:00
gemma3:4b__framing__canonical__gain_frame__t03__032,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:45.084799+00:00
gemma3:4b__framing__canonical__gain_frame__t03__033,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:47.719848+00:00
gemma3:4b__framing__canonical__gain_frame__t03__034,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:50.329571+00:00
gemma3:4b__framing__canonical__gain_frame__t03__035,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:52.990199+00:00
gemma3:4b__framing__canonical__gain_frame__t03__036,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:55.603415+00:00
gemma3:4b__framing__canonical__gain_frame__t03__037,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:39:58.191618+00:00
gemma3:4b__framing__canonical__gain_frame__t03__038,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:00.801669+00:00
gemma3:4b__framing__canonical__gain_frame__t03__039,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:03.404756+00:00
gemma3:4b__framing__canonical__gain_frame__t03__040,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:06.007942+00:00
gemma3:4b__framing__canonical__gain_frame__t03__041,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:09.204561+00:00
gemma3:4b__framing__canonical__gain_frame__t03__042,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:12.062796+00:00
gemma3:4b__framing__canonical__gain_frame__t03__043,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:14.897274+00:00
gemma3:4b__framing__canonical__gain_frame__t03__044,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:17.650490+00:00
gemma3:4b__framing__canonical__gain_frame__t03__045,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:20.476715+00:00
gemma3:4b__framing__canonical__gain_frame__t03__046,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:23.438068+00:00
gemma3:4b__framing__canonical__gain_frame__t03__047,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:26.248112+00:00
gemma3:4b__framing__canonical__gain_frame__t03__048,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:29.196771+00:00
gemma3:4b__framing__canonical__gain_frame__t03__049,gemma3:4b,framing,canonical,gain_frame,0.3,,,,"600 people are at risk.

Program A: 200 will be saved.
Program B: 1/3 chance all 600 saved, 2/3 chance none saved.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:32.005533+00:00
gemma3:4b__framing__canonical__loss_frame__t03__000,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:35.183621+00:00
gemma3:4b__framing__canonical__loss_frame__t03__001,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:38.085904+00:00
gemma3:4b__framing__canonical__loss_frame__t03__002,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:40.931190+00:00
gemma3:4b__framing__canonical__loss_frame__t03__003,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:43.697036+00:00
gemma3:4b__framing__canonical__loss_frame__t03__004,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:46.620685+00:00
gemma3:4b__framing__canonical__loss_frame__t03__005,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:49.522370+00:00
gemma3:4b__framing__canonical__loss_frame__t03__006,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:52.344132+00:00
gemma3:4b__framing__canonical__loss_frame__t03__007,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:55.165441+00:00
gemma3:4b__framing__canonical__loss_frame__t03__008,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:40:58.000338+00:00
gemma3:4b__framing__canonical__loss_frame__t03__009,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:00.964844+00:00
gemma3:4b__framing__canonical__loss_frame__t03__010,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:03.970861+00:00
gemma3:4b__framing__canonical__loss_frame__t03__011,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:06.840346+00:00
gemma3:4b__framing__canonical__loss_frame__t03__012,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:09.675926+00:00
gemma3:4b__framing__canonical__loss_frame__t03__013,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:12.448554+00:00
gemma3:4b__framing__canonical__loss_frame__t03__014,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:15.437350+00:00
gemma3:4b__framing__canonical__loss_frame__t03__015,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:18.413543+00:00
gemma3:4b__framing__canonical__loss_frame__t03__016,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:21.334341+00:00
gemma3:4b__framing__canonical__loss_frame__t03__017,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:23.978027+00:00
gemma3:4b__framing__canonical__loss_frame__t03__018,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:26.869885+00:00
gemma3:4b__framing__canonical__loss_frame__t03__019,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:29.843459+00:00
gemma3:4b__framing__canonical__loss_frame__t03__020,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:32.696236+00:00
gemma3:4b__framing__canonical__loss_frame__t03__021,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:35.539093+00:00
gemma3:4b__framing__canonical__loss_frame__t03__022,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:38.524623+00:00
gemma3:4b__framing__canonical__loss_frame__t03__023,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:41.502448+00:00
gemma3:4b__framing__canonical__loss_frame__t03__024,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:44.379032+00:00
gemma3:4b__framing__canonical__loss_frame__t03__025,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:47.166803+00:00
gemma3:4b__framing__canonical__loss_frame__t03__026,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:49.995773+00:00
gemma3:4b__framing__canonical__loss_frame__t03__027,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:52.797935+00:00
gemma3:4b__framing__canonical__loss_frame__t03__028,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:55.919249+00:00
gemma3:4b__framing__canonical__loss_frame__t03__029,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:41:58.797143+00:00
gemma3:4b__framing__canonical__loss_frame__t03__030,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:01.685765+00:00
gemma3:4b__framing__canonical__loss_frame__t03__031,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:04.448429+00:00
gemma3:4b__framing__canonical__loss_frame__t03__032,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:07.262211+00:00
gemma3:4b__framing__canonical__loss_frame__t03__033,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:10.293483+00:00
gemma3:4b__framing__canonical__loss_frame__t03__034,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:13.301990+00:00
gemma3:4b__framing__canonical__loss_frame__t03__035,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:16.247601+00:00
gemma3:4b__framing__canonical__loss_frame__t03__036,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:19.099619+00:00
gemma3:4b__framing__canonical__loss_frame__t03__037,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:21.958008+00:00
gemma3:4b__framing__canonical__loss_frame__t03__038,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:24.725912+00:00
gemma3:4b__framing__canonical__loss_frame__t03__039,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:27.516856+00:00
gemma3:4b__framing__canonical__loss_frame__t03__040,gemma3:4b,framing,canonical,loss_frame,0.3,,,,"600 people are at risk.

Program A: 400 will die.
Program B: 1/3 chance none die, 2/3 chance all 600 die.

Choose A or B. Reply with only the letter A or B.",A,A,False,2026-04-29T10:42:30.375183+00:00
